material,pulse_model,cfd_fraction,x_mm,theta_q05_weighted_mean_deg,theta_median_weighted_mean_deg,theta_q95_weighted_mean_deg,reference_experimental_theta_deg
EJ-230,fast_contrast,0.14,-500,7.054516874634303,27.36581760790784,41.96362004305282,35.4
EJ-230,fast_contrast,0.14,-200,6.7371603607403525,25.045644416694568,38.80922527667233,35.4
EJ-230,fast_contrast,0.14,0,7.149356690548838,26.476245928485483,40.17850571184026,35.4
EJ-230,fast_contrast,0.14,200,6.798521452974804,24.723085458561247,38.7069476297965,35.4
EJ-230,fast_contrast,0.14,500,7.121861638428406,27.38554094555435,41.8933179554612,35.4
EJ-230,fast_contrast,0.14,650,2.325396279865476,30.937063548092915,49.86302922799318,35.4
EJ-230,fast_contrast,0.24,-650,4.038471359064015,33.458496663858405,52.255980033076646,35.4
EJ-230,fast_contrast,0.24,-500,7.793529460874256,30.06012909205769,45.32846908287125,35.4
EJ-230,fast_contrast,0.24,-200,7.805566016569964,28.305404209771922,43.144427001674366,35.4
EJ-230,fast_contrast,0.24,0,7.70814460639344,27.747869503032277,42.43459973704214,35.4
EJ-230,fast_contrast,0.24,200,7.79587104455865,28.190788087607256,43.187605313789,35.4
EJ-230,fast_contrast,0.24,500,8.392351726477282,30.48976756166764,45.71469234451325,35.4
EJ-230,fast_contrast,0.24,650,4.457963744328693,33.387643298294684,52.11509405888975,35.4
EJ-230,fastic_measured,0.14,-650,4.70425454907225,35.355690865434894,54.591088807394684,35.4
EJ-230,fastic_measured,0.14,-500,8.755239603186919,32.238790717753275,49.59359327081293,35.4
EJ-230,fastic_measured,0.14,-200,8.61063688625948,30.264909089497582,45.29383199237543,35.4
EJ-230,fastic_measured,0.14,0,8.142681762154385,29.64460537160042,44.63549214317906,35.4
EJ-230,fastic_measured,0.14,200,8.707594893794193,30.333315650064183,45.17762415688021,35.4
EJ-230,fastic_measured,0.14,500,8.77888026426526,32.31396820005454,49.09121929848577,35.4
EJ-230,fastic_measured,0.14,650,5.070081245932463,35.48146314531373,54.63091927027423,35.4
EJ-230,fastic_measured,0.24,-650,5.777865860928544,38.48532892462106,58.20784477433269,35.4
EJ-230,fastic_measured,0.24,-500,9.736078544158026,35.37157419182499,51.811406471413875,35.4
EJ-230,fastic_measured,0.24,-200,9.607318889014003,33.29844609051769,47.96776623386709,35.4
EJ-230,fastic_measured,0.24,0,9.30213351815268,32.607762580662076,47.24068864666978,35.4
EJ-230,fastic_measured,0.24,200,9.53564245471202,33.26674295575249,47.83548293645312,35.4
EJ-230,fastic_measured,0.24,500,9.465473463236945,35.24813504421257,51.68335053172405,35.4
EJ-230,fastic_measured,0.24,650,6.5833496498734165,38.768384041865694,58.24785937076232,35.4
EJ-230,penarodriguez_shortened,0.14,-650,4.70425454907225,35.355690865434894,54.591088807394684,35.4
EJ-230,penarodriguez_shortened,0.14,-500,8.755239603186919,32.238790717753275,49.59359327081293,35.4
EJ-230,penarodriguez_shortened,0.14,-200,8.61063688625948,30.264909089497582,45.29383199237543,35.4
EJ-230,penarodriguez_shortened,0.14,0,8.142681762154385,29.64460537160042,44.63549214317906,35.4
EJ-230,penarodriguez_shortened,0.14,200,8.707594893794193,30.333315650064183,45.17762415688021,35.4
EJ-230,penarodriguez_shortened,0.14,500,8.77888026426526,32.31396820005454,49.09121929848577,35.4
EJ-230,penarodriguez_shortened,0.14,650,5.070081245932463,35.48146314531373,54.63091927027423,35.4
EJ-230,penarodriguez_shortened,0.24,-650,5.777865860928544,38.48532892462106,58.20784477433269,35.4
EJ-230,penarodriguez_shortened,0.24,-500,9.736078544158026,35.37157419182499,51.811406471413875,35.4
EJ-230,penarodriguez_shortened,0.24,-200,9.607318889014003,33.29844609051769,47.96776623386709,35.4
EJ-230,penarodriguez_shortened,0.24,0,9.30213351815268,32.607762580662076,47.24068864666978,35.4
EJ-230,penarodriguez_shortened,0.24,200,9.53564245471202,33.26674295575249,47.83548293645312,35.4
EJ-230,penarodriguez_shortened,0.24,500,9.465473463236945,35.24813504421257,51.68335053172405,35.4
EJ-230,penarodriguez_shortened,0.24,650,6.5833496498734165,38.768384041865694,58.24785937076232,35.4
